PRECISION,AVG,people,man,building,sit,table,stand,room,tree,field,white,water,woman,mountain,chair,black,large,bridge,train,park,bed,car,red,kitchen,road,house,track,garden,walk,snow,boat,night,wooden,flower,baseball,tower,old,river,golf,city,street,church,sky,blue,green,store,beach,play,food,pool,rock,horse,station,body,forest,desk,window,wall,truck,sign,tall,young,boy,fire,fish,fountain,small,ride,door,plant,bus,statue,person,yellow,ski,stage,desert,ocean,run,brick,ring,castle,restaurant,girl,ice,alley,bowling,ruin,sun,shoe,hold,closet,wind,dirt,grass,bamboo,dock,parking,cockpit,tent,sink
tags-en,0.6078502188147528,0.6722689075630253,0.7793427230046949,0.7247058823529412,0.5394736842105263,0.6702127659574468,0.4,0.5847953216374269,0.790625,0.5098684210526315,0.6067796610169491,0.6356877323420075,0.683206106870229,0.6571428571428571,0.6526315789473685,0.5555555555555556,0.33513513513513515,0.8171428571428572,0.81875,0.37662337662337664,0.7202797202797203,0.7394366197183099,0.6791044776119403,0.8421052631578947,0.6071428571428571,0.5945945945945946,0.6422018348623854,0.40384615384615385,0.6288659793814433,0.7010309278350515,0.8541666666666666,0.2988505747126437,0.4823529411764706,0.7469879518072289,0.875,0.55,0.4810126582278481,0.2948717948717949,0.717948717948718,0.5394736842105263,0.5866666666666667,0.5616438356164384,0.5616438356164384,0.6338028169014085,0.5492957746478874,0.5942028985507246,0.6086956521739131,0.6764705882352942,0.38461538461538464,0.84375,0.640625,0.9032258064516129,0.6721311475409836,0.3333333333333333,0.35,0.6166666666666667,0.5166666666666667,0.5254237288135594,0.7321428571428571,0.5454545454545454,0.33962264150943394,0.43137254901960786,0.6470588235294118,0.76,0.7755102040816326,0.8125,0.3125,0.425531914893617,0.7391304347826086,0.5217391304347826,0.8695652173913043,0.6888888888888889,0.17777777777777778,0.7045454545454546,0.6511627906976745,0.6666666666666666,0.30952380952380953,0.5,0.5121951219512195,0.7560975609756098,0.6829268292682927,0.47368421052631576,0.5405405405405406,0.7297297297297297,0.7027027027027027,0.5675675675675675,0.8333333333333334,0.3333333333333333,0.4857142857142857,0.8235294117647058,0.6764705882352942,0.7352941176470589,0.45454545454545453,0.45454545454545453,0.5757575757575758,0.6875,0.5625,0.8064516129032258,0.6451612903225806,0.8666666666666667,0.5
tags-hi,0.36722560777443375,0.7344537815126051,0.596244131455399,0.45176470588235296,0.6447368421052632,0.24202127659574468,0.44594594594594594,0.4853801169590643,0.728125,0.5263157894736842,0.23728813559322035,0.3680297397769517,0.42366412213740456,0.5952380952380952,0.3631578947368421,0.1693121693121693,0.31891891891891894,0.5657142857142857,0.5,0.012987012987012988,0.4755244755244755,0.8169014084507042,0.41044776119402987,0.42105263157894735,0.7053571428571429,0.6396396396396397,0.08256880733944955,0.4423076923076923,0.31958762886597936,0.4948453608247423,0.34375,0.1839080459770115,0.3411764705882353,0.6385542168674698,0.2,0.0875,0.13924050632911392,0.3974358974358974,0.1282051282051282,0.3026315789473684,0.5066666666666667,0.4246575342465753,0.6301369863013698,0.4084507042253521,0.29577464788732394,0.6521739130434783,0.6376811594202898,0.4411764705882353,0.6153846153846154,0.296875,0.46875,0.6935483870967742,0.32786885245901637,0.0,0.38333333333333336,0.08333333333333333,0.13333333333333333,0.4576271186440678,0.125,0.05454545454545454,0.3018867924528302,0.0,0.3333333333333333,0.4,0.7959183673469388,0.14583333333333334,0.3125,0.06382978723404255,0.43478260869565216,0.43478260869565216,0.7608695652173914,0.37777777777777777,0.5111111111111111,0.4090909090909091,0.06976744186046512,0.4523809523809524,0.16666666666666666,0.42857142857142855,0.5121951219512195,0.024390243902439025,0.07317073170731707,0.07894736842105263,0.08108108108108109,0.918918918918919,0.1891891891891892,0.13513513513513514,0.3888888888888889,0.027777777777777776,0.45714285714285713,0.7647058823529411,0.20588235294117646,0.2647058823529412,0.21212121212121213,0.30303030303030304,0.30303030303030304,0.40625,0.03125,0.25806451612903225,0.12903225806451613,0.5,0.0,0.8095238095238095
en-hi,0.26269384699707393,0.6128364389233955,0.48318385650224216,0.26764934057408846,0.40575539568345326,0.19223300970873786,0.35060449050086356,0.4178082191780822,0.5293244246473645,0.4344262295081967,0.1746031746031746,0.3109826589595376,0.3827433628318584,0.4810126582278481,0.2995391705069124,0.11488250652741515,0.17768595041322313,0.4716981132075472,0.4090909090909091,0.015957446808510637,0.4013605442176871,0.6483870967741936,0.1760752688172043,0.3422818791946309,0.6262626262626263,0.54739336492891,0.08823529411764706,0.34782608695652173,0.22519083969465647,0.4033898305084746,0.25688073394495414,0.15625,0.11813186813186813,0.3698630136986301,0.1827956989247312,0.06666666666666667,0.10300429184549356,0.3141025641025641,0.11392405063291139,0.1782178217821782,0.3595505617977528,0.2894736842105263,0.3382899628252788,0.12967581047381546,0.1565600882028666,0.4840764331210191,0.5087719298245614,0.26618705035971224,0.4838709677419355,0.2857142857142857,0.3003003003003003,0.6527777777777778,0.2571428571428571,0.0,0.2905405405405405,0.1565217391304348,0.07161803713527852,0.1360824742268041,0.10112359550561797,0.020512820512820513,0.12320916905444126,0.012048192771084338,0.25,0.24731182795698925,0.7012987012987013,0.11764705882352941,0.1875945537065053,0.06666666666666667,0.21544715447154472,0.2742616033755274,0.6101694915254238,0.2736842105263158,0.2014388489208633,0.1260053619302949,0.08196721311475409,0.41025641025641024,0.06930693069306931,0.3894736842105263,0.2733333333333333,0.06769230769230769,0.0784313725490196,0.04411764705882353,0.07936507936507936,0.5271317829457365,0.23655913978494625,0.1836734693877551,0.3170731707317073,0.08695652173913043,0.21359223300970873,0.5,0.0967741935483871,0.2,0.14893617021276595,0.1761006289308176,0.20351758793969849,0.2826086956521739,0.02040816326530612,0.14634146341463414,0.038461538461538464,0.3333333333333333,0.0,0.43283582089552236
hi-en,0.35724075400359473,0.466786355475763,0.5067750677506775,0.5798319327731093,0.3785234899328859,0.5284974093264249,0.2286036036036036,0.2527624309392265,0.49479528105482307,0.20893561103810776,0.32526881720430106,0.46219931271477666,0.4942857142857143,0.3904109589041096,0.47794117647058826,0.28205128205128205,0.21224086870681144,0.5707762557077626,0.7128712871287128,0.2,0.6344086021505376,0.39723320158102765,0.4517241379310345,0.6986301369863014,0.20563847429519072,0.25666666666666665,0.5454545454545454,0.22099447513812154,0.14251207729468598,0.5242290748898678,0.5490196078431373,0.2631578947368421,0.296551724137931,0.4602272727272727,0.8947368421052632,0.17647058823529413,0.2823529411764706,0.17253521126760563,0.8181818181818182,0.5,0.12098298676748583,0.4835164835164835,0.2394736842105263,0.2826086956521739,0.26641651031894936,0.3206751054852321,0.07493540051679587,0.18781725888324874,0.18828451882845187,0.22413793103448276,0.29069767441860467,0.8867924528301887,0.4909090909090909,0.0,0.31386861313868614,0.0979381443298969,0.4426229508196721,0.3188405797101449,0.375,0.25,0.215,0.18181818181818182,0.16149068322981366,0.71875,0.7605633802816901,0.1951219512195122,0.14074914869466515,0.10256410256410256,0.4690265486725664,0.11343804537521815,0.72,0.40625,0.03214695752009185,0.3357142857142857,0.7142857142857143,0.5,0.4117647058823529,0.2835249042145594,0.08488612836438923,0.07913669064748201,0.5,0.10344827586206896,0.2857142857142857,0.23943661971830985,0.0912863070539419,0.0391304347826087,0.7647058823529411,0.4,0.46808510638297873,0.7291666666666666,0.2535211267605634,0.225,0.16666666666666666,0.1958041958041958,0.2523364485981308,0.7647058823529411,0.03125,0.631578947368421,0.25,0.5862068965517241,0.0
